,Name,area
484,Kaiparambu__Thrissur,21242129.429995783
485,Kuzhur__Thrissur,19574491.41348645
486,Poyya__Thrissur,19448579.5629796
487,Puthenchira__Thrissur,21540992.487402763
488,Annamanada__Thrissur,24575833.66368669
489,Kadukutty__Thrissur,17022807.77891427
490,Koratty__Thrissur,23499227.184527595
491,Pariyaram__Thrissur,28978847.27614313
492,Athirappilli__Thrissur,348590041.0013147
493,Muriyad__Thrissur,22083883.223630656
494,Chalakkudi(M)__Thrissur,25036310.54073413
495,Kodassery__Thrissur,48938283.779096015
496,Mattathoor__Thrissur,208098560.9962334
497,Mala__Thrissur,28657332.672076203
498,Aloor__Thrissur,36036308.84651602
499,Vellangalloor__Thrissur,26534678.11392588
500,Poomangalam__Thrissur,8933730.269090459
501,Padiyoor__Thrissur,18471301.174199652
502,Kattoor__Thrissur,12043088.379811537
503,Karalam__Thrissur,21530256.9565994
504,Cherppu__Thrissur,20838895.239731446
505,Paralam__Thrissur,17359039.240514185
506,Chazhoor__Thrissur,25313996.173575766
507,Anthikkad__Thrissur,13054370.953642339
508,Velookkara__Thrissur,35120141.33635579
509,Iringalakkuda(M)__Thrissur,22505643.526751533
510,Parappukkara__Thrissur,21175915.67120766
511,Nenmanikkara__Thrissur,11996378.836898748
512,Puthukkad__Thrissur,15527551.225337535
513,Varantharappilli__Thrissur,170491867.6577537
514,Thrikoor__Thrissur,25596405.703764886
515,Vallachira__Thrissur,10084316.274120403
516,Avinisseri__Thrissur,8070769.341549373
517,Puttoor__Thrissur,87512030.95446938
518,Alagappa Nagar__Thrissur,17522770.580290154
519,Nadathara__Thrissur,20252580.110560875
520,Adat__Thrissur,23793557.797962386
521,Thrissur(C)__Thrissur,101539858.09909251
522,Madakkathara__Thrissur,28495924.097782794
523,Veloor__Thrissur,28350856.842576034
524,Kadangode__Thrissur,32550750.68950278
525,Erumapetty__Thrissur,33598777.152036384
526,Desamangalam__Thrissur,22524670.87616627
527,Varavoor__Thrissur,30923335.338383354
528,Mulloorkkara__Thrissur,42157417.9240222
529,Vadakkancherri(M)__Thrissur,51952663.0741848
530,Mulankunnathukavu__Thrissur,20364286.30602768
531,Panancheri__Thrissur,110179544.7450002
532,Thekkumkara__Thrissur,39966597.79705454
533,Pazhayannoor__Thrissur,135353361.79220304
534,Thiruvilwamala__Thrissur,38062602.71336373
535,Kondazhy__Thrissur,30310406.032609932
536,Vallathol Nagar__Thrissur,18942790.937932134
537,Panjal__Thrissur,29293262.05874165
538,Kandanasseri__Thrissur,15439654.308821248
539,Tholoor__Thrissur,16171881.643420056
540,Avanoor__Thrissur,18200720.300376013
541,Arimpoor__Thrissur,22971948.148566946
542,Kolazhi__Thrissur,16740525.576512659
543,Choondal__Thrissur,20331397.926335882
544,Punnayoor__Thrissur,17452301.190024413
545,Kadappuram__Thrissur,10535495.322530841
546,Nattika__Thrissur,9341639.323901214
547,Kodakara__Thrissur,21516206.328855664
548,Manaloor__Thrissur,17962375.50537234
549,Meloor__Thrissur,23403929.722036883
550,Venkidangu__Thrissur,20721024.767422047
551,Kulukkalloor__Palakkad,21885118.520650588
552,Kizhakkanchery__Palakkad,111526081.19407363
553,Sholayur__Palakkad,195674926.02935553
554,Puthur__Palakkad,375213657.53397316
555,Kottoppadam__Palakkad,77230669.78019013
556,Malampuzha__Palakkad,134943166.08851713
557,Vandazhi__Palakkad,58404967.26917075
558,Ayiloor__Palakkad,40251036.05641666
559,Nelliyampathi__Palakkad,530958065.1959971
560,Elavancheri__Palakkad,32626695.83913506
561,Nenmara__Palakkad,34262018.429944806
562,Kuthannoor__Palakkad,35616436.59648257
563,Perumatti__Palakkad,60147425.90832866
564,Pallasana__Palakkad,29447150.658123482
565,Koduvayoor__Palakkad,20777123.917912982
566,Puthunagaram__Palakkad,9860754.24129583
