LSG Name, Population
Vengola__Ernakulam,50476
Vengoor__Ernakulam,21937
Chelakkara__Thrissur,40450
Eriyad__Thrissur,46213
Edavilangadu__Thrissur,20363
Kodungalloor(M)__Thrissur,71244
Mathilakam__Thrissur,27833
Sreenarayanapuram__Thrissur,37959
Perinjanam__Thrissur,21012
Kaipamangalam__Thrissur,35626
Edathiruthy__Thrissur,29325
Thannyam__Thrissur,29238
Valappad__Thrissur,35237
Thalikkulam__Thrissur,25507
Vadanappilly__Thrissur,30184
Engandiyoor__Thrissur,23583
Chavakkad(M)__Thrissur,3998
Punnayoorkkulam__Thrissur,21416
Vadakkekkadu__Thrissur,26109
Guruvayur(M)__Thrissur,7012
Kunnamkulam(M)__Thrissur,5471
Kattakambal__Thrissur,25903
Kadavalloor__Thrissur,36464
Porkkulam__Thrissur,16339
Chowannoor__Thrissur,16690
Orumanayoor__Thrissur,11688
Mullasseri__Thrissur,21676
Pavaratty__Thrissur,20676
Elavally__Thrissur,27209
Kaiparambu__Thrissur,31299
Kuzhur__Thrissur,19916
Poyya__Thrissur,22490
Puthenchira__Thrissur,23375
Annamanada__Thrissur,30289
Kadukutty__Thrissur,25128
Koratty__Thrissur,32523
Pariyaram__Thrissur,23070
Athirappilli__Thrissur,9153
Muriyad__Thrissur,27059
Chalakkudi(M)__Thrissur,49525
Kodassery__Thrissur,34198
Mattathoor__Thrissur,47875
Mala__Thrissur,34371
Aloor__Thrissur,43488
Vellangalloor__Thrissur,38243
Poomangalam__Thrissur,12541
Padiyoor__Thrissur,18745
Kattoor__Thrissur,18017
Karalam__Thrissur,21315
Cherppu__Thrissur,37099
Paralam__Thrissur,24825
Chazhoor__Thrissur,29141
Anthikkad__Thrissur,21449
Velookkara__Thrissur,29207
Iringalakkuda(M)__Thrissur,62532
Parappukkara__Thrissur,29659
Nenmanikkara__Thrissur,22002
Puthukkad__Thrissur,36722
Varantharappilli__Thrissur,40892
Thrikoor__Thrissur,27874
Vallachira__Thrissur,20233
Avinisseri__Thrissur,21707
Puttoor__Thrissur,49284
Alagappa Nagar__Thrissur,29341
Nadathara__Thrissur,31352
Adat__Thrissur,31973
Thrissur(C)__Thrissur,315957
Madakkathara__Thrissur,27181
Veloor__Thrissur,27633
Kadangode__Thrissur,32574
Erumapetty__Thrissur,29834
Desamangalam__Thrissur,21883
Varavoor__Thrissur,20045
Mulloorkkara__Thrissur,20100
Vadakkancherri(M)__Thrissur,61341
Mulankunnathukavu__Thrissur,20256
Panancheri__Thrissur,45963
Thekkumkara__Thrissur,29511
Pazhayannoor__Thrissur,40256
Thiruvilwamala__Thrissur,28544
Kondazhy__Thrissur,22403
Vallathol Nagar__Thrissur,26133
Panjal__Thrissur,25024
Kandanasseri__Thrissur,24452
Tholoor__Thrissur,18431
Avanoor__Thrissur,22482
Arimpoor__Thrissur,32292
Kolazhi__Thrissur,31567
Choondal__Thrissur,32436
Punnayoor__Thrissur,33368
Kadappuram__Thrissur,25305
Nattika__Thrissur,19406
Kodakara__Thrissur,32298
Manaloor__Thrissur,32886
Meloor__Thrissur,27659
Venkidangu__Thrissur,25118
Kulukkalloor__Palakkad,27971
Kizhakkanchery__Palakkad,40928
Sholayur__Palakkad,17207
Puthur__Palakkad,26638
Kottoppadam__Palakkad,43283
Malampuzha__Palakkad,14479
Vandazhi__Palakkad,31929
Ayiloor__Palakkad,28419
Nelliyampathi__Palakkad,5545
Elavancheri__Palakkad,17940
Nenmara__Palakkad,36549
Kuthannoor__Palakkad,23891
Perumatti__Palakkad,30445
Pallasana__Palakkad,23729
Koduvayoor__Palakkad,29197
Puthunagaram__Palakkad,17892
Peruvembu__Palakkad,19312
Kodumbu__Palakkad,23828
Thenkurissi__Palakkad,27196
Kannadi__Palakkad,24030
Mathur__Palakkad,25016
Alathur__Palakkad,26720
Melarcode__Palakkad,26090
Kavassery__Palakkad,29003
Tharur__Palakkad,26178
Peringottukurissi__Palakkad,25075
Erimayur__Palakkad,30645
Kuzhalmannam__Palakkad,27366
Kottayi__Palakkad,22037
Chittoor-Thathamangalam(M)__Palakkad,32298
Polpulli__Palakkad,16500
Nalleppilli__Palakkad,32713
Eruthempathi__Palakkad,18158
Vadakarapathy__Palakkad,26459
Elappulli__Palakkad,39032
Puthusseri__Palakkad,51185
Marutharoad__Palakkad,34627
Palakkad(M)__Palakkad,130955
Parali__Palakkad,34451
Mundoor__Palakkad,30648
Karimba__Palakkad,27480
Thenkara__Palakkad,29527
Agali__Palakkad,34941
Pirayiri__Palakkad,41359
Puthupariyaram__Palakkad,39428
Mankara__Palakkad,18732
Kongadu__Palakkad,30020
Vadakkancherri__Palakkad,35969
Kannambra__Palakkad,25084
Puthukkode__Palakkad,21642
Shornur(M)__Palakkad,43533
Vaniyamkulam__Palakkad,32050
Ananganadi__Palakkad,24445
Pookkottukavu__Palakkad,14427
Trikkadeeri__Palakkad,26662
Nellaya__Palakkad,36146
Chalavara__Palakkad,23466
Cherppulassery (M)__Palakkad,34899
Vellinezhi__Palakkad,17101
Sreekrishnapuram__Palakkad,21873
Karimpuzha__Palakkad,32117
Kanjirappuzha__Palakkad,32999
Karakurissi__Palakkad,27999
Mannarkkad(M)__Palakkad,28617
Kumaramputhoor__Palakkad,32860
Alanalloor__Palakkad,52554
Lekkidiperoor__Palakkad,32858
Mannoor__Palakkad,19813
Keralassery__Palakkad,15022
Ambalappara__Palakkad,38276
Thachanattukara__Palakkad,26669
Anakkara__Palakkad,24699
Kappur__Palakkad,31337
Chalissery__Palakkad,24238
Pattithara__Palakkad,33157
Paruthoor__Palakkad,12170
Thrithala__Palakkad,27796
Nagalasserry__Palakkad,27606
Thirumittakode__Palakkad,31998
Muthuthala__Palakkad,24861
Pattambi (M)__Palakkad,28632
Thiruvengappura__Palakkad,33942
Ongalloor__Palakkad,43271
Koppam__Palakkad,30169
Vilayoor__Palakkad,23389
Vallappuzha__Palakkad,28018
Pattancherry__Palakkad,26018
Ottappalam(M)__Palakkad,53792
Thachampara__Palakkad,18087
Kozhinjampara__Palakkad,28751
Muthalamada__Palakkad,37060
Kadampazhippuram__Palakkad,31506
