,name,day,S,E,I,R
155,Anad__Thiruvananthapuram,3,31686.999459845836,0.00038082675813501426,0.000150308873140542,9.018532407837464e-06
156,Anchuthengu__Thiruvananthapuram,3,17395.999921933304,5.510054087959065e-05,2.1666186207486644e-05,1.2999711731836109e-06
157,Andoorkonam__Thiruvananthapuram,3,30780.99974587215,0.00017944350200877705,7.045693443619063e-05,4.227416070560675e-06
158,Aruvikkara__Thiruvananthapuram,3,33395.99921263175,0.0005549521202527331,0.00021926049709179452,1.3155629864686426e-05
159,Aryanad__Thiruvananthapuram,3,26360.998618556263,0.0009732007243419922,0.00038513491864995274,2.310809527213701e-05
160,Aryancodu__Thiruvananthapuram,3,24327.993916382227,0.004280239950070408,0.0017012998319737252,0.00010207799315644432
161,Athiyannoor__Thiruvananthapuram,3,26972.999231182635,0.0005420064622357996,0.00021397254893600705,1.2838352982357146e-05
162,Attingal(M)__Thiruvananthapuram,3,37435.999683996524,0.000222682979755295,8.803820451045721e-05,5.282292276262216e-06
163,Azhoor__Thiruvananthapuram,3,27389.999817947868,0.00012850212518194316,5.051887355521522e-05,3.0311324158488566e-06
164,Balaramapuram__Thiruvananthapuram,3,36133.998867813316,0.0007979386136517053,0.000315328371922431,1.891970239023767e-05
165,Chemmaruthi__Thiruvananthapuram,3,32443.99985104778,0.00010512574278333971,4.13457295014057e-05,2.480743771518349e-06
166,Chenkal__Thiruvananthapuram,3,36543.998620042046,0.000972415523231354,0.0003844739957294807,2.306843985385739e-05
167,Cherunniyoor__Thiruvananthapuram,3,18113.999921726077,5.525120288931245e-05,2.17195469904044e-05,1.303172820133044e-06
168,Chirayinkeezhu__Thiruvananthapuram,3,29906.999820526282,0.00012666986669176568,4.9814953857126654e-05,2.9888972336858433e-06
169,Edava__Thiruvananthapuram,3,25993.999875280075,8.802491844521419e-05,3.461792865114136e-05,2.077075720323221e-06
170,Elakamon__Thiruvananthapuram,3,25306.999876222362,8.734403747237128e-05,3.437131979860112e-05,2.062279189186571e-06
171,Kadakkavoor__Thiruvananthapuram,3,23154.999885789395,8.062017590599677e-05,3.1689083804897986e-05,1.9013450294741967e-06
172,Kadinamkulam__Thiruvananthapuram,3,46475.99960243192,0.0002807596429466602,0.00011019664425911525,6.611798662657942e-06
173,Kallara__Thiruvananthapuram,3,25843.99979018099,0.00014802227480510157,5.829880539222258e-05,3.497928327112537e-06
