,iName,jName,Cij
299,Andoorkonam,Vembayam,0.00030754268610969
300,Andoorkonam,Venganoor,4.370798992870902e-06
301,Andoorkonam,Vettoor,8.58842891138343e-06
302,Andoorkonam,Vilappil,5.458985842353034e-06
303,Andoorkonam,Vilavoorkal,4.4710673537169676e-06
304,Aruvikkara,Amboori,5.073852136512585e-06
305,Aruvikkara,Anad,0.0003138270449420638
306,Aruvikkara,Anchuthengu,1.286251262345564e-06
307,Aruvikkara,Andoorkonam,5.7790795477923094e-06
308,Aruvikkara,Aruvikkara,0.9721412614271339
309,Aruvikkara,Aryanad,0.0002032205892335501
310,Aruvikkara,Aryancodu,8.327795275231789e-06
311,Aruvikkara,Athiyannoor,3.873880485173469e-06
312,Aruvikkara,Attingal(M),4.77779560389717e-06
313,Aruvikkara,Azhoor,3.1107911977972927e-06
314,Aruvikkara,Balaramapuram,7.57637724801875e-06
315,Aruvikkara,Chemmaruthi,3.3461123764795088e-06
316,Aruvikkara,Chenkal,1.5010644135632045e-05
317,Aruvikkara,Cherunniyoor,1.3526474180384195e-06
318,Aruvikkara,Chirayinkeezhu,3.2746184159018215e-06
319,Aruvikkara,Edava,2.2680637657773434e-06
320,Aruvikkara,Elakamon,2.182711751525224e-06
321,Aruvikkara,Kadakkavoor,2.066602911683237e-06
322,Aruvikkara,Kadinamkulam,9.991155064427085e-06
323,Aruvikkara,Kallara,1.0387349767455368e-05
324,Aruvikkara,Kallikkad,5.067006568667204e-06
325,Aruvikkara,Kalliyoor,1.109539776927015e-05
326,Aruvikkara,Kanjiramkulam,2.0101753917694295e-06
327,Aruvikkara,Karakulam,0.0021504354747354727
328,Aruvikkara,Karavaram,3.1647837929285982e-06
329,Aruvikkara,Karode,3.985858358205979e-06
330,Aruvikkara,Karumkulam,3.534225777819035e-06
331,Aruvikkara,Kattakada,7.0184418626254e-05
332,Aruvikkara,Kilimanoor,3.4854930990138117e-06
333,Aruvikkara,Kizhuvilam,3.942074675631249e-06
334,Aruvikkara,Kollayil,7.633483997826478e-06
335,Aruvikkara,Kottukal,5.321844854076286e-06
336,Aruvikkara,Kulathoor,4.099859392823707e-06
337,Aruvikkara,Kunnathukal,1.6957481169770176e-05
338,Aruvikkara,Madavoor,3.6056141251433113e-06
339,Aruvikkara,Malayinkeezhu,0.00015083148517679182
340,Aruvikkara,Manampoor,2.024665489094959e-06
341,Aruvikkara,Mangalapuram,5.904409176138735e-06
342,Aruvikkara,Manikkal,2.6734629043592133e-05
343,Aruvikkara,Maranalloor,2.6190374712381e-05
344,Aruvikkara,Mudakkal,5.178506417383481e-06
345,Aruvikkara,Nagaroor,5.603647908624057e-06
346,Aruvikkara,Nanniyodu,3.484347666397832e-05
347,Aruvikkara,Navayikkulam,4.814255883506035e-06
348,Aruvikkara,Nedumangad(M),0.004313128045775941
349,Aruvikkara,Nellanadu,7.965005965262436e-06
350,Aruvikkara,Neyyattinkara(M),5.6792709869494385e-05
351,Aruvikkara,Ottasekharamangalam,7.817011638777544e-06
352,Aruvikkara,Ottoor,1.1299512979330475e-06
353,Aruvikkara,Pallichal,1.3905282822640146e-05
354,Aruvikkara,Pallikkal,2.379891210666608e-06
355,Aruvikkara,Panavoor,2.377524026514304e-05
356,Aruvikkara,Pangod,1.4850523099001105e-05
357,Aruvikkara,Parassala,2.787495615032165e-05
358,Aruvikkara,Pazhayakunnummel,4.826640188505696e-06
359,Aruvikkara,Peringammala,2.5027336431178116e-05
360,Aruvikkara,Perumkadavila,7.491067454609487e-06
361,Aruvikkara,Poovachal,0.0003222114200539595
362,Aruvikkara,Poovar,1.9114328728629235e-06
363,Aruvikkara,Pothencodu,5.749559018793544e-06
364,Aruvikkara,Pulimathu,8.414815780221269e-06
365,Aruvikkara,Pullampara,1.1936555252963432e-05
366,Aruvikkara,Thirupuram,1.976885935350612e-06
367,Aruvikkara,Thiruvananthapuram(C),0.008168438127510788
368,Aruvikkara,Tholikkodu,0.00013340667248485757
369,Aruvikkara,Uzhamalakkal,0.00047533360834773757
370,Aruvikkara,Vakkam,1.1969089048654346e-06
371,Aruvikkara,Vamanpuram,4.828725438940392e-06
372,Aruvikkara,Varkala(M),4.761533186385481e-06
373,Aruvikkara,Vellanad,0.00684137468443729
374,Aruvikkara,Vellarada,1.6970510541223164e-05
375,Aruvikkara,Vembayam,0.00011773335819552509
376,Aruvikkara,Venganoor,7.132887172969084e-06
377,Aruvikkara,Vettoor,1.3849001640098616e-06
378,Aruvikkara,Vilappil,0.003703272685095195
379,Aruvikkara,Vilavoorkal,0.0002559446452102213
380,Aryanad,Amboori,5.067094989759632e-05
381,Aryanad,Anad,0.0001177106504277669
382,Aryanad,Anchuthengu,9.867561133691903e-07
383,Aryanad,Andoorkonam,2.9306817507404955e-06
384,Aryanad,Aruvikkara,0.00025745437570819167
385,Aryanad,Aryanad,0.9851625306689413
386,Aryanad,Aryancodu,3.772166420992387e-05
387,Aryanad,Athiyannoor,3.2565210061247165e-06
388,Aryanad,Attingal(M),3.8077620480006295e-06
389,Aryanad,Azhoor,2.2035524243971138e-06
390,Aryanad,Balaramapuram,5.8571256234683445e-06
391,Aryanad,Chemmaruthi,2.754273889072849e-06
392,Aryanad,Chenkal,5.248076489829432e-06
393,Aryanad,Cherunniyoor,1.0857474270979734e-06
394,Aryanad,Chirayinkeezhu,2.4154835562638216e-06
395,Aryanad,Edava,1.8686534155196516e-06
396,Aryanad,Elakamon,1.7971207904371081e-06
397,Aryanad,Kadakkavoor,1.6387771707084675e-06
398,Aryanad,Kadinamkulam,4.934792759101207e-06
399,Aryanad,Kallara,6.731257131263236e-06
400,Aryanad,Kallikkad,8.627621305136568e-05
401,Aryanad,Kalliyoor,6.183739358069019e-06
402,Aryanad,Kanjiramkulam,1.6543415572147536e-06
403,Aryanad,Karakulam,4.8753870545299976e-05
404,Aryanad,Karavaram,2.6639808013771545e-06
405,Aryanad,Karode,3.808102298735439e-06
406,Aryanad,Karumkulam,2.956960937864343e-06
407,Aryanad,Kattakada,0.0002023668812051217
408,Aryanad,Kilimanoor,1.4530891008010786e-06
409,Aryanad,Kizhuvilam,2.9172037205329804e-06
410,Aryanad,Kollayil,7.404803590935008e-06
411,Aryanad,Kottukal,4.138474165534263e-06
412,Aryanad,Kulathoor,3.8560208740572875e-06
413,Aryanad,Kunnathukal,1.877924586692308e-05
414,Aryanad,Madavoor,1.46270572695075e-06
415,Aryanad,Malayinkeezhu,4.063947810599131e-05
416,Aryanad,Manampoor,1.6603420241659795e-06
417,Aryanad,Mangalapuram,3.800155869093617e-06
418,Aryanad,Manikkal,5.520489314541713e-06
419,Aryanad,Maranalloor,4.675714073668538e-05
420,Aryanad,Mudakkal,3.949728870724653e-06
421,Aryanad,Nagaroor,2.1406469652159166e-06
422,Aryanad,Nanniyodu,7.341064927098968e-05
423,Aryanad,Navayikkulam,4.156455721794286e-06
424,Aryanad,Nedumangad(M),0.00034422062289276
425,Aryanad,Nellanadu,2.7042291099615267e-06
426,Aryanad,Neyyattinkara(M),1.7916271566373687e-05
427,Aryanad,Ottasekharamangalam,5.137465377564777e-05
428,Aryanad,Ottoor,9.208553016805571e-07
429,Aryanad,Pallichal,2.2849047306303464e-05
430,Aryanad,Pallikkal,9.983462890136143e-07
431,Aryanad,Panavoor,3.782039562278143e-05
432,Aryanad,Pangod,1.4302526578102463e-05
433,Aryanad,Parassala,2.978239519310907e-05
434,Aryanad,Pazhayakunnummel,2.029518287026115e-06
435,Aryanad,Peringammala,0.00014172427594443134
436,Aryanad,Perumkadavila,1.534999905600523e-05
437,Aryanad,Poovachal,0.00103286835344407
438,Aryanad,Poovar,1.7061173944509443e-06
439,Aryanad,Pothencodu,3.1302133415467675e-06
440,Aryanad,Pulimathu,3.3917545259773388e-06
441,Aryanad,Pullampara,9.413334296383321e-06
442,Aryanad,Thirupuram,1.737984904181966e-06
443,Aryanad,Thiruvananthapuram(C),0.0023395775454704048
444,Aryanad,Tholikkodu,0.0016007358818975626
445,Aryanad,Uzhamalakkal,0.00496326758405664
446,Aryanad,Vakkam,9.386082406267895e-07
447,Aryanad,Vamanpuram,1.9668532599815356e-06
448,Aryanad,Varkala(M),3.933255581539953e-06
449,Aryanad,Vellanad,0.0024621586724639646
450,Aryanad,Vellarada,4.489189643485024e-05
451,Aryanad,Vembayam,2.4722962800886677e-05
452,Aryanad,Venganoor,4.924682290198618e-06
453,Aryanad,Vettoor,1.0885943874064637e-06
454,Aryanad,Vilappil,0.0001943584519746328
455,Aryanad,Vilavoorkal,2.3847423310193336e-05
456,Aryancodu,Amboori,0.00033131840755182214
457,Aryancodu,Anad,3.4820216325984364e-06
458,Aryancodu,Anchuthengu,8.252772705341131e-07
459,Aryancodu,Andoorkonam,2.3835054342392865e-06
460,Aryancodu,Aruvikkara,1.1431891278018778e-05
461,Aryancodu,Aryanad,4.08739226503536e-05
462,Aryancodu,Aryancodu,0.9786638764176169
463,Aryancodu,Athiyannoor,3.922752815833286e-05
464,Aryancodu,Attingal(M),2.8569248271933442e-06
465,Aryancodu,Azhoor,1.805736381137713e-06
466,Aryancodu,Balaramapuram,8.067654790455102e-05
467,Aryancodu,Chemmaruthi,2.0619925058357515e-06
468,Aryancodu,Chenkal,8.98973212105555e-05
469,Aryancodu,Cherunniyoor,8.68128559658429e-07
470,Aryancodu,Chirayinkeezhu,1.975530646194292e-06
471,Aryancodu,Edava,1.4109608553064156e-06
472,Aryancodu,Elakamon,1.3615391907513825e-06
473,Aryancodu,Kadakkavoor,1.3133540305837009e-06
474,Aryancodu,Kadinamkulam,4.328290256277707e-06
475,Aryancodu,Kallara,1.946110455303725e-06
476,Aryancodu,Kallikkad,0.00020382708018320308
477,Aryancodu,Kalliyoor,1.874310431153152e-05
478,Aryancodu,Kanjiramkulam,1.340137108711683e-05
479,Aryancodu,Karakulam,1.4560540830379136e-05
480,Aryancodu,Karavaram,2.113084823843673e-06
481,Aryancodu,Karode,4.607487436758796e-05
482,Aryancodu,Karumkulam,2.272296809842036e-05
483,Aryancodu,Kattakada,0.0008147827543249006
484,Aryancodu,Kilimanoor,1.127012932647789e-06
485,Aryancodu,Kizhuvilam,2.34733636696269e-06
486,Aryancodu,Kollayil,0.00015213860054367063
487,Aryancodu,Kottukal,3.161040041444952e-05
488,Aryancodu,Kulathoor,3.247493425552158e-05
489,Aryancodu,Kunnathukal,0.002140845219316779
490,Aryancodu,Madavoor,1.1343268181318339e-06
491,Aryancodu,Malayinkeezhu,9.708368406285663e-05
492,Aryancodu,Manampoor,1.2825517029560797e-06
493,Aryancodu,Mangalapuram,2.970345532249373e-06
494,Aryancodu,Manikkal,3.5620741850580243e-06
495,Aryancodu,Maranalloor,0.00036214459406699553
496,Aryancodu,Mudakkal,3.0144722868667143e-06
497,Aryancodu,Nagaroor,1.7065240003846992e-06
498,Aryancodu,Nanniyodu,2.449857898361626e-06
499,Aryancodu,Navayikkulam,3.218391861685748e-06
500,Aryancodu,Nedumangad(M),1.896081663001448e-05
501,Aryancodu,Nellanadu,1.868710390669764e-06
