iName,1.0,2.0,3.0,4.0,5.0,6.0
Nagaroor__Thiruvananthapuram,Nagaroor__Thiruvananthapuram (24125.920000000002),Karavaram__Thiruvananthapuram (438.7813046578583),Thiruvananthapuram(C)__Thiruvananthapuram (415.01956808768006),Attingal(M)__Thiruvananthapuram (205.6640133273953),Kilimanoor__Thiruvananthapuram (138.21088669152726),Pulimathu__Thiruvananthapuram (119.19150584829036)
Nanniyodu__Thiruvananthapuram,Nanniyodu__Thiruvananthapuram (25852.8),Thiruvananthapuram(C)__Thiruvananthapuram (402.5322409668556),Panavoor__Thiruvananthapuram (88.22693925484045),Nedumangad(M)__Thiruvananthapuram (85.92032197315842),Anad__Thiruvananthapuram (48.3573604809011),Pangod__Thiruvananthapuram (34.8405980686056)
Navayikkulam__Thiruvananthapuram,Navayikkulam__Thiruvananthapuram (39073.92),Thiruvananthapuram(C)__Thiruvananthapuram (284.1460848528268),Chemmaruthi__Thiruvananthapuram (144.8920236060792),Varkala(M)__Thiruvananthapuram (113.45461232411753),Karavaram__Thiruvananthapuram (100.40252355314367),Madavoor__Thiruvananthapuram (87.07532613697707)
Nedumangad(M)__Thiruvananthapuram,Nedumangad(M)__Thiruvananthapuram (57754.56),Thiruvananthapuram(C)__Thiruvananthapuram (1314.2867803279205),Anad__Thiruvananthapuram (234.42059542925494),Karakulam__Thiruvananthapuram (136.8738054737864),Aruvikkara__Thiruvananthapuram (90.80306776314009),Vembayam__Thiruvananthapuram (62.74967197951942)
Nellanadu__Thiruvananthapuram,Nellanadu__Thiruvananthapuram (23642.71),Thiruvananthapuram(C)__Thiruvananthapuram (715.5542266164379),Manikkal__Thiruvananthapuram (187.32052423623333),Vamanpuram__Thiruvananthapuram (178.81940300280272),Mudakkal__Thiruvananthapuram (154.63350155172947),Pulimathu__Thiruvananthapuram (92.12167086995662)
Neyyattinkara(M)__Thiruvananthapuram,Neyyattinkara(M)__Thiruvananthapuram (68016.0),Thiruvananthapuram(C)__Thiruvananthapuram (848.2982111949889),Balaramapuram__Thiruvananthapuram (213.22977130307112),Athiyannoor__Thiruvananthapuram (205.37181056855252),Perumkadavila__Thiruvananthapuram (179.83783982285283),Chenkal__Thiruvananthapuram (121.93430312837425)
Ottasekharamangalam__Thiruvananthapuram,Ottasekharamangalam__Thiruvananthapuram (17102.54),Thiruvananthapuram(C)__Thiruvananthapuram (524.6881248986441),Aryancodu__Thiruvananthapuram (190.52784261600223),Neyyattinkara(M)__Thiruvananthapuram (102.52930777439161),Kattakada__Thiruvananthapuram (101.58553764997528),Poovachal__Thiruvananthapuram (86.47873767054989)
Ottoor__Thiruvananthapuram,Ottoor__Thiruvananthapuram (14637.35),Manampoor__Thiruvananthapuram (199.07842983244774),Thiruvananthapuram(C)__Thiruvananthapuram (174.40091912734832),Chemmaruthi__Thiruvananthapuram (142.9420047533087),Varkala(M)__Thiruvananthapuram (111.60995873198848),Attingal(M)__Thiruvananthapuram (99.73151525282907)
Pallichal__Thiruvananthapuram,Pallichal__Thiruvananthapuram (41149.29),Thiruvananthapuram(C)__Thiruvananthapuram (2047.1301925893702),Kalliyoor__Thiruvananthapuram (303.412239416521),Malayinkeezhu__Thiruvananthapuram (251.247841153596),Neyyattinkara(M)__Thiruvananthapuram (222.53236779134832),Balaramapuram__Thiruvananthapuram (222.19201477364427)
Pallikkal__Thiruvananthapuram,Pallikkal__Thiruvananthapuram (15379.0),Thiruvananthapuram(C)__Thiruvananthapuram (298.03072643055833),Madavoor__Thiruvananthapuram (255.42415621904246),Navayikkulam__Thiruvananthapuram (192.7621048111345),Varkala(M)__Thiruvananthapuram (65.97380919710285),Chemmaruthi__Thiruvananthapuram (49.728561818360774)
