iName,1.0,2.0,3.0,4.0,5.0,6.0
Thazhekkod__Malappuram,Thazhekkod__Malappuram (7632.96),Perinthalmanna(M)__Malappuram (31.21022293635615),Thachanattukara__Palakkad (23.75829759585191),Cherppulassery (M)__Palakkad (17.512246562351386),Alanalloor__Palakkad (16.121221111700994),Kozhikkode(C)__Kozhikode (9.661201137421015)
Theekoyi__Kottayam,Theekoyi__Kottayam (10417.92),Erattupetta(M)__Kottayam (43.25767877415544),Poonjar Thekkekara__Kottayam (29.435598817074847),Thalanad__Kottayam (21.26634781698321),Poonjar__Kottayam (9.900045953854754),Thidanad__Kottayam (8.302214319153084)
Thekkumbhagam__Kollam,Thekkumbhagam__Kollam (16259.52),Kollam(C)__Kollam (300.1916747577319),Chavara__Kollam (58.6949406043223),Thrikkaruva__Kollam (41.089511805917596),Neendakara__Kollam (30.437423234462333),Thevalakkara__Kollam (25.919280534022057)
Thekkumkara__Thrissur,Thekkumkara__Thrissur (28330.56),Thrissur(C)__Thrissur (281.6892412297118),Vadakkancherri(M)__Thrissur (183.1948635175966),Madakkathara__Thrissur (37.42400026338092),Mulankunnathukavu__Thrissur (37.335145547014875),Mulloorkkara__Thrissur (21.952732660133393)
Thenjippalam__Malappuram,Thenjippalam__Malappuram (6510.72),Kozhikkode(C)__Kozhikode (63.791123190474785),Parappanangadi(M)__Malappuram (27.743181225579722),Thirurangadi(M)__Malappuram (14.133521997140347),Kondotty(M)__Malappuram (13.40405663302594),Ramanattukara(M)__Kozhikode (13.005932339629338)
Thenkara__Palakkad,Thenkara__Palakkad (28345.92),Mannarkkad(M)__Palakkad (170.77102003184734),Kumaramputhoor__Palakkad (91.47726192106558),Kanjirappuzha__Palakkad (65.08360259028613),Kottoppadam__Palakkad (61.11418872038991),Kozhikkode(C)__Kozhikode (32.89211271389334)
Thenkurissi__Palakkad,Thenkurissi__Palakkad (26108.16),Koduvayoor__Palakkad (136.93593852531413),Palakkad(M)__Palakkad (129.2656116319028),Kuzhalmannam__Palakkad (94.09183297635029),Erimayur__Palakkad (47.67896110328505),Kannadi__Palakkad (35.69241156622659)
Thenmala__Kollam,Thenmala__Kollam (22612.8),Thiruvananthapuram(C)__Thiruvananthapuram (94.03980426727067),Punaloor(M)__Kollam (89.88337828517481),Kollam(C)__Kollam (52.396856453469965),Piravanthoor__Kollam (35.32350887572562),Eroor__Kollam (24.564610327867204)
Thennala__Malappuram,Thennala__Malappuram (4668.3),Thirurangadi(M)__Malappuram (102.57614862925405),Thanur(M)__Malappuram (46.815741155208485),Kozhikkode(C)__Kozhikode (33.96688344856311),Parappanangadi(M)__Malappuram (26.44485208447502),Kottakkal(M)__Malappuram (24.25325246751828)
Thevalakkara__Kollam,Thevalakkara__Kollam (39109.07),Kollam(C)__Kollam (916.7774468508579),Panmana__Kollam (336.6950683950412),Mynagappally__Kollam (283.16573683618566),Chavara__Kollam (265.8298271485344),Karunagappally(M)__Kollam (196.39482802042204)
Thidanad__Kottayam,Thidanad__Kottayam (18884.32),Erattupetta(M)__Kottayam (331.50035119476996),Poonjar__Kottayam (127.0495316349942),Elikkulam__Kottayam (97.871627101156),Kanjirapally__Kottayam (42.47256369855796),Meenachil__Kottayam (41.07714806054395)
Thikkodi__Kozhikode,Thikkodi__Kozhikode (24616.41),Payyoli(M)__Kozhikode (477.853422831162),Moodadi__Kozhikode (406.3522096329015),Koyilandi(M)__Kozhikode (199.2345795145775),Kozhikkode(C)__Kozhikode (185.72130622537225),Vadakara(M)__Kozhikode (125.2105188585668)
Thillankeri__Kannur,Thillankeri__Kannur (13999.68),Iritty(M)__Kannur (176.1763417594335),Malur__Kannur (44.46039435105168),Kannur(C)__Kannur (31.873678746462204),Muzhakkunnu__Kannur (23.4608443482284),Kozhikkode(C)__Kozhikode (11.383170127552935)
Thirumaradi__Ernakulam,Thirumaradi__Ernakulam (16881.6),Koothattukulam(M)__Ernakulam (55.9922176790971),Pampakkuda__Ernakulam (39.09049312242004),Piravom(M)__Ernakulam (35.11156073157974),Muvattupuzha(M)__Ernakulam (22.105715987251646),Marady__Ernakulam (16.384680667672217)
Thirumittakode__Palakkad,Thirumittakode__Palakkad (29118.18),Nagalasserry__Palakkad (207.6468331089302),Thrissur(C)__Thrissur (191.49932718614696),Pattambi (M)__Palakkad (139.66005999369062),Thrithala__Palakkad (119.44999595293154),Vadakkancherri(M)__Thrissur (110.08702110393088)
Thirunavaya__Malappuram,Thirunavaya__Malappuram (8144.64),Ponnani(M)__Malappuram (26.857277453056366),Valancherri(M)__Malappuram (24.761325758217897),Kozhikkode(C)__Kozhikode (18.810343716646493),Kottakkal(M)__Malappuram (13.370164335833278),Thanur(M)__Malappuram (11.342139820545212)
Thirunelli__Wayanad,Thirunelli__Wayanad (6625.92),Mananthavady(M)__Wayanad (70.19262985074896),Kozhikkode(C)__Kozhikode (18.35759044960691),Kannur(C)__Kannur (8.117808596993516),Sulthan Bathery(M)__Wayanad (5.749003445989737),Kalpatta(M)__Wayanad (3.4760594288794504)
Thirupuram__Thiruvananthapuram,Thirupuram__Thiruvananthapuram (18142.08),Thiruvananthapuram(C)__Thiruvananthapuram (138.52201710067806),Neyyattinkara(M)__Thiruvananthapuram (96.01019620600499),Athiyannoor__Thiruvananthapuram (55.907589901764595),Kanjiramkulam__Thiruvananthapuram (55.62236393845512),Poovar__Thiruvananthapuram (53.67226184329706)
Thirur(M)__Malappuram,Thirur(M)__Malappuram (5431.68),Thanur(M)__Malappuram (21.649743150762095),Kozhikkode(C)__Kozhikode (16.333651835107812),Ponnani(M)__Malappuram (11.945779356852396),Thirurangadi(M)__Malappuram (9.575084860353025),Thalakkad__Malappuram (8.019021312522463)
Thirurangadi(M)__Malappuram,Thirurangadi(M)__Malappuram (54366.72),Parappanangadi(M)__Malappuram (425.24930915950546),Thanur(M)__Malappuram (366.01894037692045),Kozhikkode(C)__Kozhikode (241.77776189875962),Nannambra__Malappuram (97.45889764441341),Kondotty(M)__Malappuram (72.95311497535995)
Thiruvaali__Malappuram,Thiruvaali__Malappuram (5842.56),Manjeri(M)__Malappuram (32.80624706129458),Kozhikkode(C)__Kozhikode (22.103783060882584),Nilambur(M)__Malappuram (17.68526531398848),Malappuram(M)__Malappuram (7.234999104564632),Wandoor__Malappuram (6.077914896475317)
Thiruvalla(M)__Pathanamthitta,Thiruvalla(M)__Pathanamthitta (51825.34),Changanassery(M)__Kottayam (68.70118958914823),Kuttoor__Pathanamthitta (56.87984688647767),Peringara__Pathanamthitta (44.017318244378004),Payippad__Kottayam (37.3871343588555),Kaviyoor__Pathanamthitta (36.42109740093249)
Thiruvallur__Kozhikode,Thiruvallur__Kozhikode (34174.08),Vadakara(M)__Kozhikode (165.6424848917308),Villiyappally__Kozhikode (122.61888888984289),Ayancheri__Kozhikode (110.79626276644332),Maniyur__Kozhikode (89.78879303085945),Payyoli(M)__Kozhikode (73.39797177194804)
Thiruvambadi__Kozhikode,Thiruvambadi__Kozhikode (27667.2),Kozhikkode(C)__Kozhikode (173.06125540187045),Kodancheri__Kozhikode (106.17936950944669),Koodaranji__Kozhikode (65.3052803371729),Mukkam(M)__Kozhikode (54.58954356254308),Koduvalli(M)__Kozhikode (36.84879453126911)
Thiruvananthapuram(C)__Thiruvananthapuram,Thiruvananthapuram(C)__Thiruvananthapuram (928181.76),Karakulam__Thiruvananthapuram (3322.853676676509),Nedumangad(M)__Thiruvananthapuram (2691.0516244613123),Vilavoorkal__Thiruvananthapuram (1615.5150105217533),Neyyattinkara(M)__Thiruvananthapuram (1349.5919507568144),Kalliyoor__Thiruvananthapuram (1307.772927719357)
Thiruvaniyoor__Ernakulam,Thiruvaniyoor__Ernakulam (22905.61),Thrippunithura(M)__Ernakulam (305.88959938639846),Chottanikara__Ernakulam (199.49341082914003),Thrikkakkara(M)__Ernakulam (98.86373465140669),Vadavucode Puthenkurissu__Ernakulam (97.19857702558485),Kochi(C)__Ernakulam (77.28999743618418)
Thiruvanvandoor__Alappuzha,Thiruvanvandoor__Alappuzha (13377.91),Kuttoor__Pathanamthitta (243.4131408948494),Thiruvalla(M)__Pathanamthitta (144.59628247853286),Pandanadu__Alappuzha (106.90343206678524),Chengannur(M)__Alappuzha (79.28487163028653),Eraviperoor__Pathanamthitta (32.85799228264671)
Thiruvarppu__Kottayam,Thiruvarppu__Kottayam (26785.85),Kottayam(M)__Kottayam (1171.8427083685808),Alappuzha(M)__Alappuzha (112.67110037129186),Aymanam__Kottayam (77.01632714268129),Panachikkad__Kottayam (57.70864294518529),Kumarakom__Kottayam (47.21537871188793)
Thiruvengappura__Palakkad,Thiruvengappura__Palakkad (30887.22),Valancherri(M)__Malappuram (188.3515624960302),Vilayoor__Palakkad (141.56863740167873),Koppam__Palakkad (140.9528975081351),Muthuthala__Palakkad (134.70691132933894),Pattambi (M)__Palakkad (131.41713556503717)
Thiruvilwamala__Thrissur,Thiruvilwamala__Thrissur (25975.04),Ottappalam(M)__Palakkad (228.08388992732316),Lekkidiperoor__Palakkad (192.01935919804322),Thrissur(C)__Thrissur (128.853798784159),Kondazhy__Thrissur (100.51480660484826),Peringottukurissi__Palakkad (86.39717688680214)
Thodiyoor__Kollam,Thodiyoor__Kollam (43322.369999999995),Karunagappally(M)__Kollam (575.4552216266466),Kollam(C)__Kollam (419.77559074188764),Thazhava__Kollam (375.6526824703007),Mynagappally__Kollam (321.8515742473158),Kulasekharapuram__Kollam (207.0619894961927)
Thodupuzha(M)__Idukki,Thodupuzha(M)__Idukki (40844.16),Edavetti__Idukki (147.45947236333808),Kumaramangalam__Idukki (69.94035287971795),Karinkunnam__Idukki (57.08440796444332),Manakkad__Idukki (48.580099298322594),Manjallur__Ernakulam (45.387917031125674)
Tholikkodu__Thiruvananthapuram,Tholikkodu__Thiruvananthapuram (22999.34),Thiruvananthapuram(C)__Thiruvananthapuram (814.512531626527),Nedumangad(M)__Thiruvananthapuram (210.00211770055327),Uzhamalakkal__Thiruvananthapuram (102.16469862801343),Anad__Thiruvananthapuram (81.56890558707508),Aryanad__Thiruvananthapuram (61.320929677699816)
Tholoor__Thrissur,Tholoor__Thrissur (16772.21),Thrissur(C)__Thrissur (391.14384225724126),Adat__Thrissur (123.94937604008928),Kaiparambu__Thrissur (122.89123728843492),Elavally__Thrissur (83.76562561049977),Mullasseri__Thrissur (78.21877579664245)
Thondernadu__Wayanad,Thondernadu__Wayanad (4804.8),Kozhikkode(C)__Kozhikode (36.44494533933682),Kavilumpara__Kozhikode (21.264114911210832),Mananthavady(M)__Wayanad (16.65221442230955),Kannur(C)__Kannur (16.166520269831686),Narippatta__Kozhikode (10.753151309509004)
Thottapuzhassery__Pathanamthitta,Thottapuzhassery__Pathanamthitta (13166.79),Koipram__Pathanamthitta (113.0933928132105),Kozhancherry__Pathanamthitta (82.18711523775437),Ayiroor__Pathanamthitta (54.104770615703664),Aranmula__Pathanamthitta (49.21674722481197),Ezhumattoor__Pathanamthitta (34.12035441857365)
Thrikkakkara(M)__Ernakulam,Thrikkakkara(M)__Ernakulam (70360.29),Thrippunithura(M)__Ernakulam (1027.970041861872),Kochi(C)__Ernakulam (793.5085556133414),Kalamasseri(M)__Ernakulam (432.827752785521),Eloor(M)__Ernakulam (334.8246635625245),Marad(M)__Ernakulam (267.12798152620525)
Thrikkalangod__Malappuram,Thrikkalangod__Malappuram (9477.65),Manjeri(M)__Malappuram (397.4694400317793),Kozhikkode(C)__Kozhikode (62.844493838483615),Malappuram(M)__Malappuram (37.30614502126042),Kondotty(M)__Malappuram (18.1757251407856),Nilambur(M)__Malappuram (16.905730535750678)
Thrikkarippur__Kasaragod,Thrikkarippur__Kasaragod (35205.17),Payyannur(M)__Kannur (1287.9451633123933),Valiyaparampa__Kasaragod (299.3242109887159),Padanna__Kasaragod (197.19781034881683),Karivalloor-Peralam__Kannur (114.88146850951932),Kannur(C)__Kannur (114.74050358489042)
Thrikkaruva__Kollam,Thrikkaruva__Kollam (23143.12),Kollam(C)__Kollam (1445.5711142588932),Panayam__Kollam (99.29220349498692),Thekkumbhagam__Kollam (68.53045572414325),Chavara__Kollam (41.287672211359606),Thevalakkara__Kollam (40.256483342017646)
Thrikkovilvattom__Kollam,Thrikkovilvattom__Kollam (55771.17),Kollam(C)__Kollam (2611.290830402182),Kottankara__Kollam (523.8525825832543),Nedumpana__Kollam (241.98199909340477),Mayyanad__Kollam (209.83551509009064),Adichanalloor__Kollam (158.1540934045539)
Thrikkunnapuzha__Alappuzha,Thrikkunnapuzha__Alappuzha (25611.84),Kumarapuram__Alappuzha (172.71749565580626),Karthikapalli__Alappuzha (74.0728412213344),Karuvatta__Alappuzha (50.33294204901162),Harippad(M)__Alappuzha (44.87459893466429),Kayamkulam(M)__Alappuzha (30.362402009802114)
Thrikodithanam__Kottayam,Thrikodithanam__Kottayam (34469.76),Changanassery(M)__Kottayam (267.1192515578351),Thiruvalla(M)__Pathanamthitta (117.61180221132315),Madapally__Kottayam (85.97071727880942),Kunnamthanam__Pathanamthitta (58.59826188702004),Payippad__Kottayam (58.50012334975624)
Thrikoor__Thrissur,Thrikoor__Thrissur (26759.04),Thrissur(C)__Thrissur (296.2458096702877),Alagappa Nagar__Thrissur (152.5106405556646),Puttoor__Thrissur (48.574726046282755),Puthukkad__Thrissur (44.19833366179951),Nadathara__Thrissur (31.524546144124038)
Thrippunithura(M)__Ernakulam,Thrippunithura(M)__Ernakulam (88848.0),Marad(M)__Ernakulam (727.5704238521037),Kochi(C)__Ernakulam (461.0765349734377),Thrikkakkara(M)__Ernakulam (437.78517972056835),Chottanikara__Ernakulam (89.86970231981046),Vadavucode Puthenkurissu__Ernakulam (89.25674352899449)
Thriprangod__Malappuram,Thriprangod__Malappuram (7508.16),Ponnani(M)__Malappuram (63.91529031809893),Kozhikkode(C)__Kozhikode (16.13333572721387),Mangalam__Malappuram (10.761859790235546),Thanur(M)__Malappuram (9.611210983143195),Valancherri(M)__Malappuram (9.211293958763788)
Thriprangottur__Kannur,Thriprangottur__Kannur (27219.01),Kunnothuparambu__Kannur (328.84211907342404),Chekkyad__Kozhikode (297.8700868870785),Panoor(M)__Kannur (193.2474348067477),Pattiom__Kannur (109.96290589339216),Kannur(C)__Kannur (104.19486380032984)
Thrissur(C)__Thrissur,Thrissur(C)__Thrissur (303318.72),Kolazhi__Thrissur (617.3604164211465),Avinisseri__Thrissur (533.0625930098947),Vadakkancherri(M)__Thrissur (415.9806774986181),Iringalakkuda(M)__Thrissur (389.8396550171548),Adat__Thrissur (376.9268990098692)
Thrithala__Palakkad,Thrithala__Palakkad (25294.36),Pattambi (M)__Palakkad (214.79847724563314),Muthuthala__Palakkad (183.94074537837585),Pattithara__Palakkad (134.1950663424329),Nagalasserry__Palakkad (128.58261204624174),Thirumittakode__Palakkad (114.34009083963758)
Thumpamon__Pathanamthitta,Thumpamon__Pathanamthitta (7263.36),Pandalam(M)__Pathanamthitta (54.9247048723226),Pandalam Thekkekara__Pathanamthitta (23.909454992899292),Adoor(M)__Pathanamthitta (13.486559077947177),Kulanada__Pathanamthitta (13.062428521617134),Chenneerkara__Pathanamthitta (9.442145111131115)
Thuneri__Kozhikode,Thuneri__Kozhikode (21313.11),Panoor(M)__Kannur (299.71913618009853),Edacheri__Kozhikode (267.97904469145453),Nadapuram__Kozhikode (158.72774276021886),Eramala__Kozhikode (73.93132476720776),Vadakara(M)__Kozhikode (73.19217462627533)
Thuravoor__Alappuzha,Thuravoor__Alappuzha (27649.920000000002),Kuthiyathodu__Alappuzha (254.24404593246732),Pattanakkad__Alappuzha (104.54715630166807),Kodamthuruthu__Alappuzha (61.7566021168098),Thaikattussery__Alappuzha (43.93709912469173),Cherthala (M)__Alappuzha (43.698191212022884)
Thuravoor__Ernakulam,Thuravoor__Ernakulam (20609.28),Angamali(M)__Ernakulam (97.90982386977353),Kalady__Ernakulam (64.37557150776503),Manjapra__Ernakulam (57.360822006832784),Mookkannoor__Ernakulam (48.106073499334606),Karukutty__Ernakulam (37.148885617647615)
Thurayur__Kozhikode,Thurayur__Kozhikode (12900.16),Payyoli(M)__Kozhikode (141.64771753155702),Koyilandi(M)__Kozhikode (110.61219025519463),Maniyur__Kozhikode (99.37993719313326),Meppayur__Kozhikode (93.73531352198383),Kozhikkode(C)__Kozhikode (90.0252902656925)
Thuvvoor__Malappuram,Thuvvoor__Malappuram (6992.4400000000005),Kozhikkode(C)__Kozhikode (42.756099163461705),Manjeri(M)__Malappuram (41.478554269791374),Alanalloor__Palakkad (37.94486051603425),Perinthalmanna(M)__Malappuram (20.398380905785135),Nilambur(M)__Malappuram (17.43952926211572)
Trikkadeeri__Palakkad,Trikkadeeri__Palakkad (25595.52),Cherppulassery (M)__Palakkad (119.52613281391193),Ottappalam(M)__Palakkad (67.9347008657076),Ananganadi__Palakkad (65.01726590609972),Pookkottukavu__Palakkad (35.53596965138508),Vellinezhi__Palakkad (34.355763986764586)
Udayagiri__Kannur,Udayagiri__Kannur (17111.64),Alakode__Kannur (235.35213836031272),Kannur(C)__Kannur (112.46824911397054),Cherupuzha__Kannur (92.10173930680263),Naduvil__Kannur (79.5187817751862),Chapparapadavu__Kannur (48.37769897376303)
Udayamperoor__Ernakulam,Udayamperoor__Ernakulam (35979.58),Thrippunithura(M)__Ernakulam (426.69296134452185),Marad(M)__Ernakulam (238.05215503581456),Kumbalam__Ernakulam (176.44743237253482),Mulanthuruthy__Ernakulam (173.81935707236892),Kochi(C)__Ernakulam (157.13993592266084)
Udayanapuram__Kottayam,Udayanapuram__Kottayam (23306.92),Vaikom(M)__Kottayam (647.4024462831596),Maravanthuruth__Kottayam (228.5504815161344),Thalayolaparambu__Kottayam (62.21335846219543),Chennam Pallipuram__Alappuzha (60.107495942163204),Chempu__Kottayam (55.28884034830927)
Uduma__Kasaragod,Uduma__Kasaragod (34158.67),Chemmanad__Kasaragod (885.0939463762585),Pallikkara__Kasaragod (677.6411265741904),Kasaragod(M)__Kasaragod (455.392306479482),Chengala__Kasaragod (126.27174013797969),Kanjangad(M)__Kasaragod (124.91215946849191)
Udumpanchola__Idukki,Udumpanchola__Idukki (12793.69),Nedumkandam__Idukki (262.60366732661726),Senapathi__Idukki (107.10779495468479),Erattayar__Idukki (31.74436891168338),Pampadumpara__Idukki (30.296474988211784),Rajakumari__Idukki (29.483443422912966)
Udumpannoor__Idukki,Udumpannoor__Idukki (22904.64),Velliyamattam__Idukki (50.61500474078134),Idukki- Kanjikkuzhi__Idukki (46.31830516076885),Thodupuzha(M)__Idukki (31.18064567752366),Karimannur__Idukki (25.402549177964353),Arakkulam__Idukki (16.75261703156673)
Ulikkal__Kannur,Ulikkal__Kannur (34011.84),Payam__Kannur (116.5695968815063),Iritty(M)__Kannur (108.12347622908312),Kannur(C)__Kannur (102.34052284126965),Payyavoor__Kannur (92.23083577178753),Sreekandapuram(M)__Kannur (55.08460337255109)
Ulliyeri__Kozhikode,Ulliyeri__Kozhikode (29583.190000000002),Kozhikkode(C)__Kozhikode (504.891767932089),Koyilandi(M)__Kozhikode (483.72906802024),Chengottukavu__Kozhikode (142.98678521462355),Atholi__Kozhikode (131.98260916784415),Naduvannur__Kozhikode (127.93632815799594)
Ummannoor__Kollam,Ummannoor__Kollam (30748.9),Kollam(C)__Kollam (278.19479175889785),Vettikkavala__Kollam (194.7270674689583),Thiruvananthapuram(C)__Thiruvananthapuram (168.20364391055352),Elamadu__Kollam (160.36447809894477),Edamulakkal__Kollam (152.55372751225917)
Unnikkulam__Kozhikode,Unnikkulam__Kozhikode (47374.08),Kozhikkode(C)__Kozhikode (408.82211727792514),Panangad__Kozhikode (120.18933693293344),Koduvalli(M)__Kozhikode (115.59661837192051),Kizhakkoth__Kozhikode (86.2519961591755),Thamarassery__Kozhikode (75.65969700719666)
Upputhara__Idukki,Upputhara__Idukki (25186.56),Elappara__Idukki (93.38327569313657),Kanchiyar__Idukki (39.89443869895828),Ayyappankovil__Idukki (32.03524062055579),Thiruvananthapuram(C)__Thiruvananthapuram (23.042466972520938),Vazhathoppu__Idukki (22.974625916546408)
Urangattiri__Malappuram,Urangattiri__Malappuram (7968.0),Kozhikkode(C)__Kozhikode (50.61281601570085),Manjeri(M)__Malappuram (18.042014635914494),Kodiyathur__Kozhikode (12.956423743365674),Nilambur(M)__Malappuram (11.969702539356897),Karassery__Kozhikode (11.315930149078465)
Uzhamalakkal__Thiruvananthapuram,Uzhamalakkal__Thiruvananthapuram (20613.12),Thiruvananthapuram(C)__Thiruvananthapuram (330.51350872699254),Nedumangad(M)__Thiruvananthapuram (88.26964283072401),Vellanad__Thiruvananthapuram (72.2225571870194),Tholikkodu__Thiruvananthapuram (32.09744328495674),Aruvikkara__Thiruvananthapuram (28.67274893591725)
Uzhavoor__Kottayam,Uzhavoor__Kottayam (13765.44),Marangattupilly__Kottayam (28.941214784647535),Veliyannoor__Kottayam (25.97059685598404),Koothattukulam(M)__Ernakulam (22.463422489458523),Ramapuram__Kottayam (21.335624578011483),Kottayam(M)__Kottayam (13.54050131850456)
Vadakara(M)__Kozhikode,Vadakara(M)__Kozhikode (68518.45),Villiyappally__Kozhikode (791.8746692676539),Payyoli(M)__Kozhikode (767.1444121835003),Cherode__Kozhikode (762.4483564814162),Kozhikkode(C)__Kozhikode (335.32162425547585),Maniyur__Kozhikode (321.95226677298587)
Vadakarapathy__Palakkad,Vadakarapathy__Palakkad (25400.64),Puthusseri__Palakkad (87.22275107078939),Palakkad(M)__Palakkad (78.5141904243301),Kozhinjampara__Palakkad (62.188552288452314),Eruthempathi__Palakkad (61.98054555857291),Elappulli__Palakkad (52.48691710343116)
Vadakkancherri(M)__Thrissur,Vadakkancherri(M)__Thrissur (58887.36),Thrissur(C)__Thrissur (514.4976007103159),Erumapetty__Thrissur (136.21108697425416),Thekkumkara__Thrissur (103.21350075043978),Veloor__Thrissur (61.32273337885495),Mulankunnathukavu__Thrissur (59.88506662816906)
Vadakkancherri__Palakkad,Vadakkancherri__Palakkad (34530.24),Kannambra__Palakkad (156.86881730965268),Thrissur(C)__Thrissur (101.89319460996546),Kavassery__Palakkad (64.4492192879316),Puthukkode__Palakkad (52.51265933561146),Kizhakkanchery__Palakkad (44.9853348967339)
Vadakkekara__Ernakulam,Vadakkekara__Ernakulam (31435.2),Kodungalloor(M)__Thrissur (212.622516429142),Pallippuram__Ernakulam (161.68781671623753),Chittattukara__Ernakulam (103.93025160718324),Chendamangalam__Ernakulam (89.02694489963419),North Paravoor(M)__Ernakulam (83.76683199471346)
Vadakkekkadu__Thrissur,Vadakkekkadu__Thrissur (25064.64),Punnayoor__Thrissur (201.01708773809733),Thrissur(C)__Thrissur (69.93131338389914),Punnayoorkkulam__Thrissur (68.54065526004591),Kattakambal__Thrissur (52.96841067655617),Ponnani(M)__Malappuram (36.15267820309541)
Vadanappilly__Thrissur,Vadanappilly__Thrissur (28976.64),Thrissur(C)__Thrissur (184.08842966519242),Manaloor__Thrissur (120.10753150650956),Thalikkulam__Thrissur (94.91301304660476),Engandiyoor__Thrissur (71.2994817871595),Venkidangu__Thrissur (52.608609690812344)
Vadasserikkara__Pathanamthitta,Vadasserikkara__Pathanamthitta (20884.8),Pathanamthitta(M)__Pathanamthitta (61.13272826799434),Malayalappuzha__Pathanamthitta (57.75187911265089),Ranni Perunnadu__Pathanamthitta (51.383101034983035),Kollam(C)__Kollam (24.886965983727478),Konni__Pathanamthitta (24.169705518724946)
Vadavannoor__Palakkad,Vadavannoor__Palakkad (16440.96),Chittoor-Thathamangalam(M)__Palakkad (69.8367935991946),Puthunagaram__Palakkad (45.65478713705065),Palakkad(M)__Palakkad (45.22671648301535),Kollengodu__Palakkad (43.01984147176708),Pattancherry__Palakkad (38.395871995521205)
Vadavucode Puthenkurissu__Ernakulam,Vadavucode Puthenkurissu__Ernakulam (23914.56),Thrippunithura(M)__Ernakulam (186.1297709844845),Thrikkakkara(M)__Ernakulam (95.58315840027562),Kunnathunad__Ernakulam (49.37491956421472),Kochi(C)__Ernakulam (43.09928413548116),Thiruvaniyoor__Ernakulam (39.68992214184359)
Vaikom(M)__Kottayam,Vaikom(M)__Kottayam (22304.64),Udayanapuram__Kottayam (170.1772131310591),Chennam Pallipuram__Alappuzha (64.11335127555363),TV Puram__Kottayam (37.135385684627465),Maravanthuruth__Kottayam (32.84668665314369),Cherthala (M)__Alappuzha (32.13793740880818)
Vakathanam__Kottayam,Vakathanam__Kottayam (32208.0),Kottayam(M)__Kottayam (156.29169296520493),Madapally__Kottayam (103.52495131043469),Panachikkad__Kottayam (86.21136684363611),Puthupalli__Kottayam (78.71715967124368),Changanassery(M)__Kottayam (58.2844338554099)
Vakkam__Thiruvananthapuram,Vakkam__Thiruvananthapuram (15871.68),Anchuthengu__Thiruvananthapuram (171.50923329862962),Thiruvananthapuram(C)__Thiruvananthapuram (67.96017338837267),Kadakkavoor__Thiruvananthapuram (60.61829960575191),Attingal(M)__Thiruvananthapuram (34.19942995379904),Chirayinkeezhu__Thiruvananthapuram (26.756349579875398)
Valakom__Ernakulam,Valakom__Ernakulam (17575.68),Muvattupuzha(M)__Ernakulam (88.85718943603653),Payipra__Ernakulam (49.64409385729632),Mazhuvannur__Ernakulam (34.7210616786128),Marady__Ernakulam (31.53200919133835),Thrippunithura(M)__Ernakulam (15.363355943965892)
Valancherri(M)__Malappuram,Valancherri(M)__Malappuram (38705.28),Kottakkal(M)__Malappuram (82.67489222652698),Kozhikkode(C)__Kozhikode (80.79758465807835),Ponnani(M)__Malappuram (59.96509239847084),Thiruvengappura__Palakkad (51.6457900301286),Thrissur(C)__Thrissur (50.12888415109513)
Valapattanam__Kannur,Valapattanam__Kannur (7239.05),Chirakkal__Kannur (186.75302264393093),Kannur(C)__Kannur (164.20616322474294),Azheeikkode__Kannur (102.49892168721323),Pappinisseri__Kannur (78.3815019717764),Kalyasseri__Kannur (23.80272522645545)
Valappad__Thrissur,Valappad__Thrissur (33827.52),Edathiruthy__Thrissur (164.3610275243033),Thrissur(C)__Thrissur (163.7302530306985),Thannyam__Thrissur (93.04441321782771),Nattika__Thrissur (71.44317122261462),Kaipamangalam__Thrissur (61.96248055863185)
Valavannoor__Malappuram,Valavannoor__Malappuram (5904.96),Kottakkal(M)__Malappuram (16.312229256851978),Kozhikkode(C)__Kozhikode (15.268758690579961),Thanur(M)__Malappuram (12.813133669098553),Cheriyamundam__Malappuram (12.324373112394682),Valancherri(M)__Malappuram (11.47158345768065)
Valayam__Kozhikode,Valayam__Kozhikode (17639.04),Chekkyad__Kozhikode (120.84690994088706),Thriprangottur__Kannur (41.87235821119508),Nadapuram__Kozhikode (35.82148550610446),Panoor(M)__Kannur (34.57231199343462),Vanimal__Kozhikode (25.3404809678502)
Valiyaparampa__Kasaragod,Valiyaparampa__Kasaragod (12278.4),Thrikkarippur__Kasaragod (139.80525481934149),Payyannur(M)__Kannur (76.06690099163036),Padanna__Kasaragod (59.04997353479961),Nileswaram(M)__Kasaragod (18.44644444558686),Kanjangad(M)__Kasaragod (16.83564533209612)
Vallachira__Thrissur,Vallachira__Thrissur (19423.68),Thrissur(C)__Thrissur (216.91592260119083),Cherppu__Thrissur (92.02517076152438),Iringalakkuda(M)__Thrissur (74.49528528010634),Nenmanikkara__Thrissur (59.00565558707002),Avinisseri__Thrissur (26.747855002353717)
Vallappuzha__Palakkad,Vallappuzha__Palakkad (26897.28),Ongalloor__Palakkad (129.08242896525374),Shornur(M)__Palakkad (79.71326960107781),Pattambi (M)__Palakkad (69.43168192465056),Nellaya__Palakkad (61.54354238695637),Kulukkalloor__Palakkad (55.74222611912399)
