name,S,E,I,R
Mananthavady(M)__Wayanad,47974,0,0,0
Manarkadu__Kottayam,27579,0,0,0
Maneedu__Ernakulam,16980,0,0,0
Mangalam__Malappuram,5664,0,0,0
Mangalapuram__Thiruvananthapuram,36956,0,0,0
Mangalpady__Kasaragod,48441,0,0,0
Mangattidam__Kannur,34652,0,0,0
Manikkal__Thiruvananthapuram,37906,0,0,0
Manimala__Kottayam,21053,0,0,0
Maniyur__Kozhikode,39961,0,0,0
Manjallur__Ernakulam,17361,0,0,0
Manjapra__Ernakulam,16011,0,0,0
Manjeri(M)__Malappuram,97102,0,0,0
Manjeswaram__Kasaragod,41515,0,0,0
Manjoor__Kottayam,27888,0,0,0
Mankada__Malappuram,6530,0,0,0
Mankara__Palakkad,18732,0,0,0
Mankulam__Idukki,9595,0,0,0
Mannancherry__Alappuzha,50990,0,0,0
Mannar__Alappuzha,28916,0,0,0
Mannarkkad(M)__Palakkad,28617,0,0,0
Mannoor__Palakkad,19813,0,0,0
Marad(M)__Ernakulam,44704,0,0,0
Marady__Ernakulam,15543,0,0,0
Marakkara__Malappuram,7715,0,0,0
Maranalloor__Thiruvananthapuram,36832,0,0,0
Marancherri__Malappuram,7104,0,0,0
Marangattupilly__Kottayam,17758,0,0,0
Mararikulam North__Alappuzha,31322,0,0,0
Mararikulam South__Alappuzha,53263,0,0,0
Maravanthuruth__Kottayam,21728,0,0,0
Marayoor__Idukki,12399,0,0,0
Mariyapuram__Idukki,12071,0,0,0
Marutharoad__Palakkad,34627,0,0,0
Maruthonkara__Kozhikode,19871,0,0,0
Mathilakam__Thrissur,27833,0,0,0
Mathur__Palakkad,25016,0,0,0
Mattannoor(M)__Kannur,47078,0,0,0
Mattathoor__Thrissur,47875,0,0,0
Mattool__Kannur,27806,0,0,0
Mavelikkara(M)__Alappuzha,26421,0,0,0
MavelikkaraThamarakulam__Alappuzha,27017,0,0,0
MavelikkaraThekkekara__Alappuzha,32373,0,0,0
Mavoor__Kozhikode,29781,0,0,0
Mayyanad__Kollam,51891,0,0,0
Mayyil__Kannur,29649,0,0,0
Mazhuvannur__Ernakulam,34083,0,0,0
Meenachil__Kottayam,16863,0,0,0
Meenadam__Kottayam,13393,0,0,0
Meenangadi__Wayanad,8199,0,0,0
Meencha__Kasaragod,23318,0,0,0
Melarcode__Palakkad,26090,0,0,0
Melattur__Malappuram,5548,0,0,0
Melila__Kollam,21936,0,0,0
Meloor__Thrissur,27659,0,0,0
Melukavu__Kottayam,11476,0,0,0
Meppadi__Wayanad,8661,0,0,0
Meppayur__Kozhikode,27929,0,0,0
Mezhuveli__Pathanamthitta,14535,0,0,0
Mogral-Puthur__Kasaragod,24839,0,0,0
Mokeri__Kannur,19684,0,0,0
Moodadi__Kozhikode,30170,0,0,0
Mookkannoor__Ernakulam,19628,0,0,0
Moonnilavu__Kottayam,8731,0,0,0
Moorkanad__Malappuram,6944,0,0,0
Moothedam__Malappuram,5388,0,0,0
Morayoor__Malappuram,6501,0,0,0
Mudakkal__Thiruvananthapuram,36467,0,0,0
Mudakkuzha__Ernakulam,17355,0,0,0
Muhamma__Alappuzha,25861,0,0,0
Mukkam(M)__Kozhikode,40670,0,0,0
Mulakulam__Kottayam,25798,0,0,0
Mulakuzha__Alappuzha,28280,0,0,0
Mulankunnathukavu__Thrissur,20256,0,0,0
Mulanthuruthy__Ernakulam,21833,0,0,0
Mulavukadu__Ernakulam,25852,0,0,0
Muliyar__Kasaragod,25095,0,0,0
Mullankolli__Wayanad,6929,0,0,0
Mullasseri__Thrissur,21676,0,0,0
Mulloorkkara__Thrissur,20100,0,0,0
Mundakkayam__Kottayam,38445,0,0,0
Munderi__Kannur,37029,0,0,0
Mundoor__Palakkad,30648,0,0,0
Munnar__Idukki,32029,0,0,0
Munniyoor__Malappuram,10176,0,0,0
Muntrothuruthu__Kollam,9440,0,0,0
Mupainad__Wayanad,5562,0,0,0
Muriyad__Thrissur,27059,0,0,0
Muthalamada__Palakkad,37060,0,0,0
Mutholi__Kottayam,16880,0,0,0
Muthukulam__Alappuzha,20740,0,0,0
Muthuthala__Palakkad,24861,0,0,0
Muthuvalloor__Malappuram,4926,0,0,0
Muttar__Alappuzha,9388,0,0,0
Muttil__Wayanad,7998,0,0,0
Muttom__Idukki,10909,0,0,0
Muvattupuzha(M)__Ernakulam,30397,0,0,0
Muzhakkunnu__Kannur,21807,0,0,0
Muzhuppilangad__Kannur,23709,0,0,0
Mylam__Kollam,34090,0,0,0
Mylapra__Pathanamthitta,10258,0,0,0
Mynagappally__Kollam,41027,0,0,0
